 ,X,Y
1,2305.0,1911.5
2,2371.5,1807.5
3,2499.0,1909.0
4,2739.5,2941.5
5,2836.5,2858.0
6,2880.5,3153.0
7,2918.5,2676.5
8,3076.5,2812.5
9,2951.5,2455.0
10,3467.0,2086.5
11,2917.5,3803.0
12,2901.5,3941.0
13,2796.0,3853.0
14,3065.5,3955.0
15,1471.0,4393.5
16,1622.5,3844.5
17,1982.5,4713.5
18,1857.0,4290.5
19,2691.5,4932.5
20,2711.0,5100.5
21,2963.0,5167.0
22,4048.0,3694.0
23,4260.0,3947.0
24,4326.5,3845.0
25,4520.5,5188.0
26,4718.5,5004.0
27,6797.0,1974.0
28,7663.5,1428.5
29,7284.5,2961.5
30,7618.5,2438.5
31,7752.0,3347.5
32,8213.0,2155.0
33,8879.0,3538.5
34,9021.0,3618.0
35,7267.0,4005.5
36,7569.0,5016.5
37,7637.0,4970.5
38,5489.0,3124.5
39,5899.5,3082.5
40,5714.5,3028.0
41,5758.0,3129.5
42,6095.5,6285.0
43,6589.0,6117.5
44,6749.0,6192.5
45,6507.5,6026.0
46,5083.5,6466.0
47,5321.5,6560.0
48,5536.0,6663.0
49,5426.0,6383.5
50,5294.0,6081.5
51,5360.5,5925.5
52,5049.5,6224.5
53,5111.0,6090.5
54,6139.0,6756.0
55,6086.5,6880.5
56,5928.0,7057.5
57,5154.5,7167.0
58,5365.5,7297.0
59,4929.0,6666.5
60,5071.5,6884.0
61,4777.5,6071.0
62,4926.5,5537.0
63,4942.0,5641.5
64,5635.0,4721.0
65,5690.5,4957.5
66,5923.0,4828.5
67,6143.5,4575.0
68,6224.0,4979.5
69,6366.5,4893.0
70,6980.0,4931.0
71,6305.5,5267.0
72,6576.0,5529.0
73,5947.0,5501.0
74,6169.5,5782.0
75,5877.0,5609.0
76,6017.0,5941.0
77,6416.5,5846.0
78,5256.0,2155.0
79,5627.0,2405.0
80,3716.0,3361.0
81,3700.0,3589.0
82,4258.5,4206.5
83,4514.0,4173.5
84,4266.0,4825.5
85,4394.5,4452.0
86,3771.0,4755.5
87,3790.0,5051.0
88,3393.0,5500.5
89,3664.5,5433.5
90,3029.0,4720.5
91,3012.5,4877.0
92,3150.0,4847.0
